frame,objeto,confianza,id,matricula
1,car,0.71,1,
1,car,0.63,2,
1,car,0.47,3,
1,car,0.39,4,
1,car,0.29,5,
1,car,0.27,6,
2,car,0.61,1,
2,car,0.53,2,
2,car,0.28,3,
2,car,0.47,4,
2,car,0.20,5,
3,car,0.55,1,
3,car,0.56,2,
3,car,0.25,3,
3,car,0.31,4,
3,car,0.19,5,
4,car,0.67,1,
4,car,0.56,2,
4,car,0.32,3,
4,car,0.37,4,
4,car,0.17,5,
5,car,0.68,1,
5,car,0.57,2,
5,car,0.36,3,
5,car,0.35,4,
5,car,0.18,5,
6,car,0.70,1,
6,car,0.58,2,
6,car,0.39,3,
6,car,0.37,4,
6,car,0.17,5,
6,car,0.30,6,
7,car,0.68,1,
7,car,0.58,2,
7,car,0.37,3,
7,car,0.16,5,
7,car,0.28,6,
8,car,0.71,1,
8,car,0.48,2,
8,car,0.35,3,
8,car,0.23,5,
8,car,0.29,6,
9,car,0.70,1,
9,car,0.64,2,
9,car,0.32,3,
9,car,0.17,5,
9,car,0.13,6,
10,car,0.72,1,
10,car,0.64,2,
10,car,0.33,3,
10,car,0.17,5,
10,car,0.21,6,
10,car,0.36,18,
11,car,0.66,1,
11,car,0.59,2,
11,car,0.31,3,
11,car,0.20,5,
11,car,0.33,6,
11,car,0.42,18,
12,car,0.69,1,
12,car,0.63,2,
12,car,0.35,3,
12,car,0.20,5,
12,car,0.18,6,
12,car,0.39,18,
13,car,0.70,1,
13,car,0.65,2,
13,car,0.36,3,
13,car,0.12,5,
13,car,0.33,6,
13,car,0.36,18,
14,car,0.66,1,
14,car,0.67,2,
14,car,0.31,3,
14,car,0.13,5,
14,car,0.23,6,
14,car,0.39,18,
15,car,0.73,1,
15,car,0.66,2,
15,car,0.32,3,
15,car,0.17,5,
15,car,0.20,6,
15,car,0.38,18,
16,car,0.71,1,
16,car,0.66,2,
16,car,0.34,3,
16,car,0.29,5,
16,car,0.20,6,
16,car,0.37,18,
17,car,0.70,1,
17,car,0.68,2,
17,car,0.34,3,
17,car,0.37,5,
17,car,0.22,6,
17,car,0.41,18,
18,car,0.73,1,
18,car,0.70,2,
18,car,0.35,3,
18,car,0.39,5,
18,car,0.20,6,
18,car,0.40,18,
19,car,0.72,1,
19,car,0.67,2,
19,car,0.34,3,
19,car,0.12,5,
19,car,0.14,6,
19,car,0.40,18,
19,car,0.36,26,
20,car,0.71,1,
20,car,0.71,2,
20,car,0.34,3,
20,car,0.21,5,
20,car,0.20,6,
20,car,0.43,18,
20,car,0.43,26,
21,car,0.71,1,
21,car,0.76,2,
21,car,0.34,3,
21,car,0.22,5,
21,car,0.18,6,
21,car,0.42,18,
21,car,0.43,26,
22,car,0.71,1,
22,car,0.72,2,
22,car,0.34,3,
22,car,0.52,5,
22,car,0.19,6,
22,car,0.41,18,
23,car,0.70,1,
23,car,0.75,2,
23,car,0.36,3,
23,car,0.56,5,
23,car,0.18,6,
23,car,0.42,18,
24,car,0.69,1,
24,car,0.72,2,
24,car,0.35,3,
24,car,0.57,5,
24,car,0.18,6,
24,car,0.41,18,
25,car,0.71,1,
25,car,0.71,2,
25,car,0.32,3,
25,car,0.56,5,
25,car,0.33,6,
25,car,0.41,18,
