frame,objeto,confianza,id,matricula
1,plate,0.11,-1,
6,plate,0.12,-1,
7,plate,0.18,-1,
7,plate,0.11,-1,
8,plate,0.17,-1,
8,plate,0.10,-1,
9,plate,0.12,-1,
10,plate,0.15,-1,
40,plate,0.13,-1,
41,plate,0.16,-1,
42,plate,0.16,-1,
43,plate,0.12,-1,
44,plate,0.12,-1,
45,plate,0.11,-1,
46,plate,0.14,-1,
47,plate,0.11,-1,
49,plate,0.10,-1,
57,plate,0.12,-1,
68,plate,0.14,-1,
69,plate,0.14,-1,
70,plate,0.16,-1,
71,plate,0.20,-1,
72,plate,0.23,-1,
73,plate,0.15,-1,
74,plate,0.14,-1,
78,plate,0.11,-1,
79,plate,0.10,-1,
80,plate,0.13,-1,
81,plate,0.13,-1,
82,plate,0.15,-1,
83,plate,0.14,-1,
83,plate,0.14,-1,
84,plate,0.14,-1,
84,plate,0.11,-1,
85,plate,0.16,-1,
85,plate,0.11,-1,
86,plate,0.14,-1,
87,plate,0.18,-1,
87,plate,0.11,-1,
87,plate,0.10,-1,
88,plate,0.11,-1,
91,plate,0.27,-1,
93,plate,0.18,-1,
94,plate,0.25,-1,
95,plate,0.30,-1,
96,plate,0.18,-1,
96,plate,0.14,-1,
96,plate,0.14,-1,
97,plate,0.11,-1,
98,plate,0.18,-1,
98,plate,0.13,-1,
98,plate,0.11,-1,
99,plate,0.12,-1,
100,plate,0.12,-1,
101,plate,0.11,-1,
102,plate,0.10,-1,
103,plate,0.30,-1,
104,plate,0.14,-1,
104,plate,0.14,-1,
105,plate,0.16,-1,
105,plate,0.13,-1,
106,plate,0.14,-1,
107,plate,0.14,-1,
107,plate,0.12,-1,
107,plate,0.11,-1,
108,plate,0.12,-1,
109,plate,0.18,-1,
110,plate,0.14,-1,
110,plate,0.11,-1,
110,plate,0.11,-1,
111,plate,0.12,-1,
111,plate,0.12,-1,
113,plate,0.20,-1,
113,plate,0.11,-1,
116,plate,0.11,-1,
118,plate,0.14,-1,
118,plate,0.14,-1,
119,plate,0.12,-1,
120,plate,0.19,-1,
120,plate,0.11,-1,
121,plate,0.25,-1,
121,plate,0.11,-1,
122,plate,0.11,-1,
123,plate,0.10,-1,
123,plate,0.10,-1,
124,plate,0.14,-1,
124,plate,0.14,-1,
125,plate,0.32,-1,
125,plate,0.13,-1,
126,plate,0.17,-1,
126,plate,0.15,-1,
126,plate,0.13,-1,
126,plate,0.12,-1,
127,plate,0.13,-1,
128,plate,0.13,-1,
129,plate,0.14,-1,
129,plate,0.11,-1,
130,plate,0.20,-1,
130,plate,0.15,-1,
131,plate,0.14,-1,
132,plate,0.15,-1,
133,plate,0.15,-1,
134,plate,0.15,-1,
134,plate,0.10,-1,
135,plate,0.11,-1,
135,plate,0.11,-1,
135,plate,0.11,-1,
136,plate,0.12,-1,
138,plate,0.10,-1,
140,plate,0.12,-1,
142,plate,0.14,-1,
142,plate,0.12,-1,
143,plate,0.14,-1,
144,plate,0.29,-1,
144,plate,0.10,-1,
145,plate,0.16,-1,
146,plate,0.16,-1,
147,plate,0.15,-1,
148,plate,0.16,-1,
148,plate,0.11,-1,
149,plate,0.11,-1,
150,plate,0.19,-1,
151,plate,0.36,-1,
152,plate,0.20,-1,
154,plate,0.18,-1,
155,plate,0.11,-1,
156,plate,0.13,-1,
156,plate,0.10,-1,
158,plate,0.10,-1,
159,plate,0.11,-1,
160,plate,0.10,-1,
161,plate,0.11,-1,
162,plate,0.11,-1,
163,plate,0.14,-1,
164,plate,0.13,-1,
169,plate,0.11,-1,
181,plate,0.17,-1,
181,plate,0.15,-1,
182,plate,0.11,-1,
184,plate,0.13,-1,
198,plate,0.13,-1,
199,plate,0.15,-1,
200,plate,0.14,-1,
201,plate,0.19,-1,
202,plate,0.18,-1,
203,plate,0.18,-1,
204,plate,0.18,-1,
205,plate,0.18,-1,
206,plate,0.16,-1,
207,plate,0.16,-1,
208,plate,0.15,-1,
209,plate,0.13,-1,
210,plate,0.13,-1,
211,plate,0.14,-1,
212,plate,0.15,-1,
213,plate,0.18,-1,
214,plate,0.20,-1,
215,plate,0.20,-1,
216,plate,0.20,-1,
217,plate,0.19,-1,
218,plate,0.20,-1,
219,plate,0.11,-1,
220,plate,0.12,-1,
221,plate,0.16,-1,
222,plate,0.11,-1,
224,plate,0.11,-1,
