epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9811,1.65894,3.19511,1.29833,0.71167,0.11357,0.25644,0.09764,1.65205,3.10091,1.324,0.000659004,0.000659004,0.000659004
2,99.3841,1.61137,2.23849,1.30517,0.44695,0.68966,0.58228,0.29374,1.68177,2.08861,1.32441,0.00119443,0.00119443,0.00119443
3,161.675,1.65347,2.09182,1.33613,0.80991,0.62069,0.75984,0.36978,1.67528,2.50503,1.33767,0.00159785,0.00159785,0.00159785
4,210.605,1.6663,1.89267,1.33266,0.76997,0.68966,0.73874,0.36459,1.61434,1.93355,1.26122,0.001406,0.001406,0.001406
5,277.609,1.60431,1.80304,1.28081,0.90192,0.73991,0.83052,0.3887,1.64511,1.82999,1.2921,0.001208,0.001208,0.001208
6,338.162,1.51837,1.61367,1.24622,0.92572,0.71627,0.81337,0.42349,1.58953,1.60378,1.27253,0.00101,0.00101,0.00101
7,428.515,1.50512,1.571,1.2416,0.89018,0.85057,0.89459,0.44062,1.50081,1.37456,1.19103,0.000812,0.000812,0.000812
8,532.45,1.40576,1.35277,1.20256,0.91121,0.82575,0.88467,0.4507,1.57814,1.25917,1.24172,0.000614,0.000614,0.000614
9,629.3,1.36733,1.27017,1.16189,0.88814,0.82137,0.87051,0.45737,1.51031,1.25667,1.20593,0.000416,0.000416,0.000416
10,747.343,1.38573,1.25941,1.17421,0.94419,0.8046,0.87445,0.46506,1.52031,1.17699,1.16664,0.000218,0.000218,0.000218
